Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
12/2/2013,11180.3,11347.45,11180.3,11284.35,25882581,1568.06
12/3/2013,11250.7,11310.7,11174.5,11211.3,24262085,1443.94
12/4/2013,11158.7,11216.05,11107.75,11156.75,27829737,1572.67
12/5/2013,11469.35,11685.55,11469.35,11665.1,55085073,3291.3
12/6/2013,11648.35,11770.65,11579.5,11720.2,39336932,2080.97
12/9/2013,12206.95,12225.95,12007.3,12065.9,45077157,2820.56
12/10/2013,12041,12067.45,11774.95,11843.45,37393760,2365.68
12/11/2013,11747.45,11877.75,11687.6,11784.35,28285223,1800.74
12/12/2013,11736.25,11781.7,11622.7,11635.5,26796769,1592.31
12/13/2013,11483.85,11534.35,11349.85,11366.9,29829668,1969.37
12/16/2013,11347.2,11440.85,11309.7,11372.95,25578216,1514.12
12/17/2013,11412.7,11418.1,11178,11208.65,25523667,1544.3
12/18/2013,11129.65,11572.3,11117.45,11357.9,49401030,2882.21
12/19/2013,11505.55,11505.55,11040.15,11087.45,32128379,1916.58
12/20/2013,11117.7,11318.55,11074.55,11292.35,24691469,1454.13
12/23/2013,11258.65,11453.45,11258.65,11378.5,27366479,1401.45
12/24/2013,11399.15,11405,11287.3,11330.65,23579514,1242.15
12/26/2013,11335.8,11426.45,11317.45,11385.75,30304289,1760.13
12/27/2013,11409.25,11514.45,11409.25,11459.7,21147938,1121.75
12/30/2013,11532.6,11552.4,11355.05,11376,18523308,1026.23
12/31/2013,11410.25,11427.85,11316.55,11385.25,16678888,892.38
1/1/2014,11418.9,11432.55,11361,11385.6,12087962,620.02
1/2/2014,11383.8,11578.9,11150.2,11183.2,39939709,2100.25
1/3/2014,11098.25,11208,11052.6,11181.65,28242636,1619.39
1/6/2014,11174.35,11174.35,10996.95,11049.05,20454821,1284.43
1/7/2014,11097.8,11154.1,10892.15,11036.75,30270290,1849.91
1/8/2014,11071.75,11122.75,10988.8,11053.7,33422331,1781.54
1/9/2014,11068.9,11090.25,10925.15,10970.45,29447231,1873.82
1/10/2014,10969.35,11056.9,10788.2,10805.3,35861244,2145.93
1/13/2014,10814.65,11070.2,10814.65,11021.6,26061661,1477.92
1/14/2014,10989.15,11065.65,10922.6,10948.9,21566170,1291.61
1/15/2014,11000.2,11164.1,10986.1,11125.4,35896833,1927.86
1/16/2014,11187.35,11192.8,11070,11092.55,22843262,1364.02
1/17/2014,11080.1,11081.95,10893.75,10911.35,30586938,1967.21
1/20/2014,10909.9,11022.45,10876.25,11007.5,17586613,1069.59
1/21/2014,11067.05,11190.1,11036.4,11171.5,22364823,1414.81
1/22/2014,11164.25,11248.35,11094.8,11207.35,21618052,1321.78
1/23/2014,11183.75,11221.1,11122.35,11199,21112012,1237.21
1/24/2014,11063.2,11132.7,10972.1,10982.4,26145529,1549.93
1/27/2014,10802.3,10802.3,10520.9,10540.4,37240325,2121.79
1/28/2014,10541.5,10708,10333.4,10507.6,46674753,2408.77
1/29/2014,10609.9,10644.2,10406.95,10437.75,27896577,1707.77
1/30/2014,10287.85,10314.25,10101.2,10153.15,47851105,2211.33
1/31/2014,10193.55,10266.45,10130.3,10237.75,44121844,1829.27
2/3/2014,10205.45,10222.65,10089.25,10102.1,30407535,1439.62
2/4/2014,9983.65,10222.1,9944,10191.2,35509598,1636.98
2/5/2014,10215.65,10254.05,10112.5,10231.65,27701842,1356.39
2/6/2014,10257.1,10321.5,10107.8,10205.2,34755087,1854.4
